sku,name,description,category,subcategory,gender,gender_category,age_group,color,pattern,style,product_image,model_image_1,model_image_2,model_image_3,status,featured,created_at,slug
ZC-F0023,Women's Black Casual Pants,Female's black pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Black,,casual,extracted-products/female_black_pants__DSC5314_2.png,model-poses/female_casual_front_standing__DSC5314.png,model-poses/female_casual_three_quarter__DSC5314.png,model-poses/female_casual_casual_lifestyle__DSC5314.png,published,false,2025-11-28T15:56:27.943619,women-s-black-casual-pants-4
ZC-F0024,Women's Black Casual Shirt,Female's black shirt. Casual style.,Tops,Shirt,Female,Women,Adults,Black,,casual,extracted-products/female_black_polo_shirt__DSC6224_1.png,model-poses/female_casual_front_standing__DSC6224.png,model-poses/female_casual_three_quarter__DSC6224.png,model-poses/female_casual_casual_lifestyle__DSC6224.png,published,false,2025-11-28T15:56:27.943742,women-s-black-casual-shirt
ZC-F0025,Women's Black Casual Striped Print Sweater,Female's black sweater with striped design. Casual style.,Tops,Sweater,Female,Women,Adults,Black,striped,casual,extracted-products/female_black_sweater_striped__DSC4039_Large_1.png,model-poses/female_casual_front_standing__DSC4039_Large.png,model-poses/female_casual_three_quarter__DSC4039_Large.png,model-poses/female_casual_casual_lifestyle__DSC4039_Large.png,published,false,2025-11-28T15:56:27.943815,women-s-black-casual-striped-print-sweater
ZC-F0026,Women's Black Casual Top,Female's black top. Casual style.,Tops,Top,Female,Women,Adults,Black,,casual,extracted-products/female_black_top_under__DSC4648_Large_2.png,model-poses/model2_female_casual_front_standing__DSC4648_Large.png,model-poses/model2_female_casual_three_quarter__DSC4648_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4648_Large.png,published,false,2025-11-28T15:56:27.943875,women-s-black-casual-top
ZC-F0027,Women's Black Casual Graphic Print T-Shirt,Female's black t with graphic design. Casual style.,Apparel,T,Female,Women,Adults,Black,graphic,casual,extracted-products/female_black_t_shirt_graphic__DSC4447_Large_1.png,model-poses/model2_female_streetwear_front_standing__DSC4447_Large.png,model-poses/model2_female_streetwear_three_quarter__DSC4447_Large.png,model-poses/model2_female_streetwear_casual_lifestyle__DSC4447_Large.png,published,false,2025-11-28T15:56:27.943941,women-s-black-casual-graphic-print-t-shirt
ZC-F0028,Women's Blue Casual Jacket,Female's blue jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jacket_outer__DSC3713_Large_1.png,model-poses/model2_female_casual_front_standing__DSC3713_Large.png,model-poses/model2_female_casual_three_quarter__DSC3713_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC3713_Large.png,published,false,2025-11-28T15:56:27.944006,women-s-blue-casual-jacket
ZC-F0029,Women's Blue Casual Graphic Print Jeans,Female's blue jeans with graphic design. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,graphic,casual,extracted-products/female_blue_jeans_graphic__DSC6271_2.png,model-poses/female_casual_front_standing__DSC6271.png,model-poses/female_casual_three_quarter__DSC6271.png,model-poses/female_casual_casual_lifestyle__DSC6271.png,published,false,2025-11-28T15:56:27.944064,women-s-blue-casual-graphic-print-jeans
ZC-F0030,Women's Blue Casual Jeans,Female's blue jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jeans__DSC3510_Large_2.png,model-poses/female_streetwear_front_standing__DSC3510_Large.png,model-poses/female_streetwear_three_quarter__DSC3510_Large.png,model-poses/female_streetwear_casual_lifestyle__DSC3510_Large.png,published,false,2025-11-28T15:56:27.944147,women-s-blue-casual-jeans
ZC-F0031,Women's Blue Casual Jeans,Female's blue jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jeans__DSC6406_2.png,model-poses/female_casual_front_standing__DSC6406.png,model-poses/female_casual_three_quarter__DSC6406.png,model-poses/female_casual_casual_lifestyle__DSC6406.png,published,false,2025-11-28T15:56:27.944202,women-s-blue-casual-jeans-2
ZC-F0032,Women's Blue Casual Jeans,Female's blue jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_jeans__DSC6666_2.png,model-poses/female_streetwear_front_standing__DSC6666.png,model-poses/female_streetwear_three_quarter__DSC6666.png,model-poses/female_streetwear_casual_lifestyle__DSC6666.png,published,false,2025-11-28T15:56:27.944255,women-s-blue-casual-jeans-3
ZC-F0033,Women's Blue Casual Skirt,Female's blue skirt. Casual style.,Bottoms,Skirt,Female,Women,Adults,Blue,,casual,extracted-products/female_blue_skirt__DSC4039_Large_2.png,model-poses/female_casual_front_standing__DSC4039_Large.png,model-poses/female_casual_three_quarter__DSC4039_Large.png,model-poses/female_casual_casual_lifestyle__DSC4039_Large.png,published,false,2025-11-28T15:56:27.944310,women-s-blue-casual-skirt
ZC-F0034,Women's Bright Casual Graphic Print Top,Female's bright top with graphic design. Casual style.,Tops,Top,Female,Women,Adults,Bright,graphic,casual,extracted-products/female_bright_red_sleeveless_ribbed_knit_top_graphic_print_casual__DSC6271.png,model-poses/female_casual_front_standing__DSC6271.png,model-poses/female_casual_three_quarter__DSC6271.png,model-poses/female_casual_casual_lifestyle__DSC6271.png,published,false,2025-11-28T15:56:27.944369,women-s-bright-casual-graphic-print-top
ZC-F0035,Women's Caramel Vintage Graphic Print Blouse,Female's caramel blouse with graphic design. Vintage style.,Tops,Blouse,Female,Women,Adults,Caramel,graphic,vintage,extracted-products/female_caramel_brown_cropped_blouse_graphic_print_vintage_SONY_ILCE_7RM5_6304x.png,,,,published,false,2025-11-28T15:56:27.944429,women-s-caramel-vintage-graphic-print-blouse
ZC-F0036,Women's Cream Athleisure Graphic Print Hoodie,Female's cream hoodie with graphic design. Athleisure style.,Tops,Hoodie,Female,Women,Adults,Cream,graphic,athleisure,extracted-products/female_cream_beige_cropped_hoodie_and_wide-leg_sw_graphic_print_athleisure_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.944482,women-s-cream-athleisure-graphic-print-hoodie
ZC-KG0037,Kids's Cream Casual Graphic Print Dress,Adorable girl's cream dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Cream,graphic,casual,extracted-products/female_cream_dress_graphic_print_casual__DSC5663.png,,,,published,false,2025-11-28T15:56:27.944541,kids-s-cream-casual-graphic-print-dress
ZC-F0038,Women's Cream Bohemian Embroidered Print Tunic,Female's cream tunic with embroidered design. Bohemian style.,Tops,Tunic,Female,Women,Adults,Cream,embroidered,bohemian,extracted-products/female_cream_embroidered_tunic_blouse_graphic_print_bohemian_file_1616x1080_00132.png,,,,published,false,2025-11-28T15:56:27.944593,women-s-cream-bohemian-embroidered-print-tunic
ZC-F0039,Women's Cream Streetwear Graphic Print T-Shirt,Female's cream t shirt with graphic design. Streetwear style.,Tops,T-Shirt,Female,Women,Adults,Cream,graphic,streetwear,extracted-products/female_cream_graphic_t-shirt_graphic_print_streetwear__DSC6666.png,model-poses/female_streetwear_front_standing__DSC6666.png,model-poses/female_streetwear_three_quarter__DSC6666.png,model-poses/female_streetwear_casual_lifestyle__DSC6666.png,published,false,2025-11-28T15:56:27.944648,women-s-cream-streetwear-graphic-print-t-shirt
ZC-F0040,Women's Dark Casual Pants,Female's dark pants. Casual style.,Bottoms,Pants,Female,Women,Adults,Dark,,casual,extracted-products/female_dark_blue_cargo_pants__DSC4744_Large_2.png,model-poses/model2_female_casual_chic_front_standing__DSC4744_Large.png,model-poses/model2_female_casual_chic_three_quarter__DSC4744_Large.png,model-poses/model2_female_casual_chic_casual_lifestyle__DSC4744_Large.png,published,false,2025-11-28T15:56:27.944710,women-s-dark-casual-pants
ZC-KG0041,Kids's Dark Casual Outerwear,Adorable girl's dark jacket. Casual style.,Kids,Outerwear,Girl,Kids,Kids,Dark,,casual,extracted-products/female_dark_blue_jacket_outer__DSC6428_2.png,,,,published,false,2025-11-28T15:56:27.944768,kids-s-dark-casual-outerwear
ZC-F0042,Women's Dark Bohemian Graphic Print Dress,Female's dark dress with graphic design. Bohemian style.,Dresses,Dress,Female,Women,Adults,Dark,graphic,bohemian,extracted-products/female_dark_teal_green_tiered_midi_dress_graphic_print_bohemian_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.944820,women-s-dark-bohemian-graphic-print-dress
ZC-KG0043,Kids's Dusty Athleisure Tracksuit,Adorable girl's dusty tracksuit. Athleisure style.,Kids,Tracksuit,Girl,Kids,Kids,Dusty,,athleisure,extracted-products/female_dusty_rose_pink_tracksuit_athleisure__DSC6165.png,,,,published,false,2025-11-28T15:56:27.944875,kids-s-dusty-athleisure-tracksuit
ZC-KG0044,Kids's Green Casual Graphic Print Dress,Adorable girl's green dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Green,graphic,casual,extracted-products/female_green_dress_graphic_file_1616x1080_001003_Large_1.png,,,,published,false,2025-11-28T15:56:27.944923,kids-s-green-casual-graphic-print-dress
ZC-KG0045,Kids's Green Casual Graphic Print Dress,Adorable girl's green dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Green,graphic,casual,extracted-products/female_green_dress_graphic_SONY_ILCE-7RM5_9600x6376_000295_1.png,,,,published,false,2025-11-28T15:56:27.944971,kids-s-green-casual-graphic-print-dress-2
ZC-F0046,Women's Hot Casual Floral Print Tunic,Female's hot tunic with floral design. Casual style.,Tops,Tunic,Female,Women,Adults,Hot,floral,casual,extracted-products/female_hot_pink_floral_print_tunic_and_trouser_graphic_print_casual_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.945021,women-s-hot-casual-floral-print-tunic
ZC-KG0047,Kids's Light Casual Flats,Adorable girl's light flats. Casual style.,Kids,Flats,Girl,Kids,Kids,Light,,casual,extracted-products/female_light_beige_ballet_flats__DSC5817_2.png,,,,published,false,2025-11-28T15:56:27.945133,kids-s-light-casual-flats
ZC-F0048,Women's Light Casual Graphic Print Shirt,Female's light shirt with graphic design. Casual style.,Tops,Shirt,Female,Women,Adults,Light,graphic,casual,extracted-products/female_light_beige_button_up_shirt_graphic__DSC6321_1.png,model-poses/female_casual_front_standing__DSC6321.png,model-poses/female_casual_three_quarter__DSC6321.png,model-poses/female_casual_casual_lifestyle__DSC6321.png,published,false,2025-11-28T15:56:27.945229,women-s-light-casual-graphic-print-shirt
ZC-F0049,Women's Light Casual Graphic Print Pants,Female's light pants with graphic design. Casual style.,Bottoms,Pants,Female,Women,Adults,Light,graphic,casual,extracted-products/female_light_beige_pants_graphic__DSC6321_2.png,model-poses/female_casual_front_standing__DSC6321.png,model-poses/female_casual_three_quarter__DSC6321.png,model-poses/female_casual_casual_lifestyle__DSC6321.png,published,false,2025-11-28T15:56:27.945290,women-s-light-casual-graphic-print-pants
ZC-KG0050,Kids's Light Casual Graphic Print Tops,Adorable girl's light hoodie with graphic design. Casual style.,Kids,Tops,Girl,Kids,Kids,Light,graphic,casual,extracted-products/female_light_blue_hoodie_graphic__DSC5314_1.png,,,,published,false,2025-11-28T15:56:27.945347,kids-s-light-casual-graphic-print-tops
ZC-F0051,Women's Light Casual Jacket,Female's light jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jacket_outer__DSC4404_Large_1.png,model-poses/model2_female_casual_front_standing__DSC4404_Large.png,model-poses/model2_female_casual_three_quarter__DSC4404_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4404_Large.png,published,false,2025-11-28T15:56:27.945399,women-s-light-casual-jacket
ZC-F0052,Women's Light Casual Jacket,Female's light jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jacket_outer__DSC5713_2.png,model-poses/female_casual_front_standing__DSC5713.png,model-poses/female_casual_three_quarter__DSC5713.png,model-poses/female_casual_casual_lifestyle__DSC5713.png,published,false,2025-11-28T15:56:27.945682,women-s-light-casual-jacket-2
ZC-F0053,Women's Light Casual Jeans,Female's light jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jeans__DSC4404_Large_3.png,model-poses/model2_female_casual_front_standing__DSC4404_Large.png,model-poses/model2_female_casual_three_quarter__DSC4404_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4404_Large.png,published,false,2025-11-28T15:56:27.946000,women-s-light-casual-jeans
ZC-KG0054,Kids's Light Casual Bottoms,Adorable girl's light jeans. Casual style.,Kids,Bottoms,Girl,Kids,Kids,Light,,casual,extracted-products/female_light_blue_jeans__DSC5713_3.png,,,,published,false,2025-11-28T15:56:27.946092,kids-s-light-casual-bottoms
ZC-F0055,Women's Light Casual Jeans,Female's light jeans. Casual style.,Bottoms,Jeans,Female,Women,Adults,Light,,casual,extracted-products/female_light_blue_jeans__DSC6224_2.png,model-poses/female_casual_front_standing__DSC6224.png,model-poses/female_casual_three_quarter__DSC6224.png,model-poses/female_casual_casual_lifestyle__DSC6224.png,published,false,2025-11-28T15:56:27.946153,women-s-light-casual-jeans-2
ZC-F0056,Women's Light Casual Dress,Female's light dress. Casual style.,Dresses,Dress,Female,Women,Adults,Light,,casual,extracted-products/female_light_green_dress_ribbed__DSC6428_1.png,model-poses/female_casual_chic_front_standing__DSC6428.png,model-poses/female_casual_chic_three_quarter__DSC6428.png,model-poses/female_casual_chic_casual_lifestyle__DSC6428.png,published,false,2025-11-28T15:56:27.946217,women-s-light-casual-dress
ZC-F0057,Women's Light Casual Apparel,Female's light apparel. Casual style.,Apparel,Apparel,Female,Women,Adults,Light,,casual,extracted-products/female_light_grey_heels_file_1616x1080_001036_Large_2.png,,,,published,false,2025-11-28T15:56:27.946286,women-s-light-casual-apparel
ZC-F0058,Women's Light Casual Top,Female's light top. Casual style.,Tops,Top,Female,Women,Adults,Light,,casual,extracted-products/female_light_grey_sleeveless_top__DSC4744_Large_1.png,model-poses/model2_female_casual_chic_front_standing__DSC4744_Large.png,model-poses/model2_female_casual_chic_three_quarter__DSC4744_Large.png,model-poses/model2_female_casual_chic_casual_lifestyle__DSC4744_Large.png,published,false,2025-11-28T15:56:27.946343,women-s-light-casual-top
ZC-F0059,Women's Light Casual Jacket,Female's light jacket. Casual style.,Outerwear,Jacket,Female,Women,Adults,Light,,casual,extracted-products/female_light_purple_jacket_outer__DSC4648_Large_1.png,model-poses/model2_female_casual_front_standing__DSC4648_Large.png,model-poses/model2_female_casual_three_quarter__DSC4648_Large.png,model-poses/model2_female_casual_casual_lifestyle__DSC4648_Large.png,published,false,2025-11-28T15:56:27.946596,women-s-light-casual-jacket-3
ZC-KG0060,Kids's Light Casual Bottoms,Adorable girl's light pants. Casual style.,Kids,Bottoms,Girl,Kids,Kids,Light,,casual,extracted-products/female_light_purple_pants__DSC4648_Large_3.png,,,,published,false,2025-11-28T15:56:27.946722,kids-s-light-casual-bottoms-2
ZC-F0061,Women's Light Casual Textured Print Shirt,Female's light shirt with textured design. Casual style.,Tops,Shirt,Female,Women,Adults,Light,textured,casual,extracted-products/female_light_taupe_matching_button-up_shirt_and_w_textured_grid_pattern_casual__DSC6321.png,model-poses/female_casual_front_standing__DSC6321.png,model-poses/female_casual_three_quarter__DSC6321.png,model-poses/female_casual_casual_lifestyle__DSC6321.png,published,false,2025-11-28T15:56:27.946784,women-s-light-casual-textured-print-shirt
ZC-KG0062,Kids's Light Casual Graphic Print Dress,Adorable girl's light dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Light,graphic,casual,extracted-products/female_light_yellow_dress_graphic_file_1616x1080_001036_Large_1.png,,,,published,false,2025-11-28T15:56:27.948002,kids-s-light-casual-graphic-print-dress
ZC-F0063,Women's Lime Casual Dress,Female's lime dress. Casual style.,Dresses,Dress,Female,Women,Adults,Lime,,casual,extracted-products/female_lime_green_mini_dress_casual__DSC6428.png,model-poses/female_casual_chic_front_standing__DSC6428.png,model-poses/female_casual_chic_three_quarter__DSC6428.png,model-poses/female_casual_chic_casual_lifestyle__DSC6428.png,published,false,2025-11-28T15:56:27.948102,women-s-lime-casual-dress
ZC-F0064,Women's Maroon Casual Graphic Print Dress,Female's maroon dress with graphic design. Casual style.,Dresses,Dress,Female,Women,Adults,Maroon,graphic,casual,extracted-products/female_maroon_dress_graphic_SONY_ILCE-7RM5_9600x6376_000463_1.png,,,,published,false,2025-11-28T15:56:27.948169,women-s-maroon-casual-graphic-print-dress
ZC-F0065,Women's Maroon Casual Graphic Print Shirt,Female's maroon shirt with graphic design. Casual style.,Tops,Shirt,Female,Women,Adults,Maroon,graphic,casual,extracted-products/female_maroon_shirt_dress_graphic_print_casual_SONY_ILCE_7RM5_9600x.png,,,,published,false,2025-11-28T15:56:27.948225,women-s-maroon-casual-graphic-print-shirt
ZC-KG0066,Kids's Navy Casual Graphic Print Jumpsuits,Adorable girl's navy jumpsuit with graphic design. Casual style.,Kids,Jumpsuits,Girl,Kids,Kids,Navy,graphic,casual,extracted-products/female_navy_blue_jumpsuit_graphic__DSC5817_1.png,,,,published,false,2025-11-28T15:56:27.948288,kids-s-navy-casual-graphic-print-jumpsuits
ZC-KG0067,Kids's Navy Casual Graphic Print Jumpsuits,Adorable girl's navy jumpsuit with graphic design. Casual style.,Kids,Jumpsuits,Girl,Kids,Kids,Navy,graphic,casual,extracted-products/female_navy_blue_sleeveless_jumpsuit_graphic_print_casual__DSC5817.png,,,,published,false,2025-11-28T15:56:27.948348,kids-s-navy-casual-graphic-print-jumpsuits-2
ZC-KG0068,Kids's Off white Casual Graphic Print Dress,Adorable girl's off white dress with graphic design. Casual style.,Kids,Dresses,Girl,Kids,Kids,Off White,graphic,casual,extracted-products/female_off-white_dress_graphic__DSC5663_1.png,,,,published,false,2025-11-28T15:56:27.948406,kids-s-off-white-casual-graphic-print-dress
ZC-F0069,Women's Off white Casual Dress,Female's off white dress. Casual style.,Dresses,Dress,Female,Women,Adults,Off White,,casual,extracted-products/female_off-white_dress__DSC3989_Large_1.png,model-poses/model2_female_smart_casual_front_standing__DSC3989_Large.png,model-poses/model2_female_smart_casual_three_quarter__DSC3989_Large.png,model-poses/model2_female_smart_casual_casual_lifestyle__DSC3989_Large.png,published,false,2025-11-28T15:56:27.948465,women-s-off-white-casual-dress
ZC-F0070,Women's Olive Casual Dress,Female's olive dress. Casual style.,Dresses,Dress,Female,Women,Adults,Olive,,casual,extracted-products/female_olive_green_dress__DSC3606_1.png,model-poses/female_casual_front_standing__DSC3606.png,model-poses/female_casual_three_quarter__DSC3606.png,model-poses/female_casual_casual_lifestyle__DSC3606.png,published,false,2025-11-28T15:56:27.948532,women-s-olive-casual-dress
ZC-F0071,Women's Olive Casual Graphic Print Shirt,Female's olive shirt with graphic design. Casual style.,Tops,Shirt,Female,Women,Adults,Olive,graphic,casual,extracted-products/female_olive_green_shirt_dress_graphic_print_casual_file_1616x1080_00100.png,,,,published,false,2025-11-28T15:56:27.949167,women-s-olive-casual-graphic-print-shirt
